pop,family,garden,ssp,year,julian,long,lat,elev,mat,map,gsp,mtcm,mmin,mtwm,mmax,sday,fday,ffp,dd5,gsdd5,d100,dd0,mmindd0,smrpb,smrsprpb,sprp,smrp,winp
CAT2,CAT-2-8,Maj,t,y11,268,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-9,Maj,t,y11,272,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-1,Orch,t,y11,283,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-10,Orch,t,y11,282,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-2,Orch,t,y11,276,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-3,Orch,t,y11,283,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-5,Orch,t,y11,286,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-6,Orch,t,y11,291,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-7,Orch,t,y11,269,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-8,Orch,t,y11,280,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAT2,CAT-2-9,Orch,t,y11,283,-118.5704,37.7973,1974,8.9,250,89,-1.2,-8.5,20.5,29.6,152,269,123,2134,1553,105,253,1199,1.17,1.07,30,32,125
CAV2,CAV-2-1,Eph,v,y11,270,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-10,Eph,v,y11,270,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-2,Eph,v,y11,263,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-3,Eph,v,y11,256,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-5,Eph,v,y11,270,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
CAV2,CAV-2-6,Eph,v,y11,263,-118.5926,37.7234,2330,6.2,302,103,-2.8,-10.2,17.2,26.3,162,254,90,1501,992,130,464,1690,1.19,1,35,35,152
